Release Order,OEM,Device,Date,Summary,Score,Note,Scorecard Version
155,Google,Pixel 9,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
154,Google,Pixel 9 Pro,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
153,Google,Pixel 9 Pro XL,2024,"+ Screen repairs are prioritized, and all other parts are under the back glass—which doesn’t require heat to remove.
+ Google supports their phones with free, comprehensive service manuals and a wide selection of replacement parts.
- The battery is stubbornly glued down, and USB-C port repairs require removing the fragile display.
- No clips or fasteners secure the screen or back glass—you’ll need to source replacement adhesive for every repair.",5,,2.0
152,Google,Pixel 9 Pro Fold,2024,"+ Getting repairs started is easier thanks to outer display and back glass adhesives that release without heat.
+ Google provides a free, comprehensive service manual, replacement parts, and software calibration tools for end users.
- All repairs require carefully de-gluing (and later re-gluing) the outer display and/or back cover.
- Foldable smartphone repairs in general present challenges due to the inherent complexity of the product.",4,,2.0
151,Apple,iPhone 16,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ A novel electrically-releasing adhesive streamlines battery replacements.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
150,Apple,iPhone 16 Plus,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ A novel electrically-releasing adhesive streamlines battery replacements.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
149,Apple,iPhone 16 Pro,2024,"+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.",7,,1.9
148,Apple,iPhone 16 Pro Max,2024,"""+ Great design prioritizes screen repairs while giving access to all other parts through the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- Four different screw types and the continued reliance on adhesives complicate basic repairs.""",7,,1.9
147,HMD,Skyline,2024,"+ Getting the device open is easy thanks to a novel camshaft mechanism.
+ Screen and battery repairs are well-prioritized.
+ HMD support offers replacement parts and repair instructions for common repairs.
- Battery adhesive, though mild, requires some extra effort to clean and replace during a repair.",9,,1.9
146,Google,Pixel Fold,2023,"+ Google provides a free, comprehensive service manual.
+ Genuine replacement parts and software calibration tools are available for end users.
- All repairs require carefully de-gluing (and later re-gluing) the outer display and/or back cover.
- Foldable smartphone repairs in general present challenges due to the inherent complexity of the product.",3,,1.7
145,Google,Pixel 8,2023,"+ Google provides a free public service manual and offers OEM replacement parts for common repairs.
+ The display is well-prioritized, and secures with clips even when replacement adhesive isn’t available.
The battery is stubbornly glued down, and the soldered charge port can’t be easily replaced.",6,,1.6
144,Google,Pixel 8 Pro,2023,"+ Google provides a free public service manual and offers OEM replacement parts for common repairs.
+ The display is well-prioritized, and secures with clips even when replacement adhesive isn’t available.
The battery is stubbornly glued down, and the soldered charge port can’t be easily replaced.",6,,1.6
143,Apple,iPhone 15,2023,"+ Great design prioritizes screen repairs while giving access to all other parts thru the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- DIY repairs are hobbled by pervasive parts pairing and deterrent messaging.",7,Revised,1.6
142,Apple,iPhone 15 Plus,2023,"+ Great design prioritizes screen repairs while giving access to all other parts thru the back glass.
+ Screws and clips aid reassembly, whether you replace the adhesives or not.
- DIY repairs are hobbled by pervasive parts pairing and deterrent messaging.",7,Revised,1.6
141,Apple,iPhone 15 Pro,2023,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",7,Revised,1.6
140,Apple,iPhone 15 Pro Max,2023,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",7,Revised,1.6
139,Fairphone,5,2023,"+ Easy to disassemble/reassemble with basic tools—no adhesive blocks the way.
+ End users can replace the battery in a few seconds.
+ Fairphone provides a DIY service manual and offers original replacement parts.",10,,1.6
138,Google,Pixel 7a,2023,"• Google offers a free service manual and a limited set of replacement parts.
• The screen and back cover are well-prioritized for repair, but secured only with adhesive.
- The glued-down battery can be tough to access, and the soldered charge port is impractical to repair.",5,,1.6
137,Nokia,G22,2023,"+ Easily pried open for repairs, with no adhesive mess.
+ Battery replacements are well-prioritized in the design.
+ Nokia supplies parts & guides for four of the most common repairs.
- Screen repairs are do-able, but not well prioritized.",8,,1.6
136,Samsung,Galaxy S23 Ultra,2023,"+ Standard Phillips screws throughout the phone.
- The battery is still strongly glued down—the new pull tab helps only marginally.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,Provisional,1.6
135,Google,Pixel 7,2022,"+ Clips securing the display make for reliable reassembly, even when replacement adhesive isn’t available.
• Google provides no service manual, but does offer a limited set of replacement parts.
- The soldered charge port and fragile back glass are impractical to repair.",5,,1.6
134,Google,Pixel 7 Pro,2022,"+ Clips securing the display make for reliable reassembly, even when replacement adhesive isn’t available.
- The glued-down battery can be tough to access, and the soldered charge port is impractical to repair.
• Google provides no service manual, but does offer a limited set of replacement parts.",5,,1.6
133,Apple,iPhone 14,2022,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",4,Revised,1.6
132,Apple,iPhone 14 Plus,2022,"+ Display and battery replacements remain a priority in the design.
+ Previously irreplaceable back glass is now immediately replaceable.
- Proprietary screws and parts pairing can foil many repairs.",4,Revised,1.4
131,Apple,iPhone 14 Pro,2022,"+ Display and battery replacements remain a priority in the design.
+ Most other components are modular and straightforward to access or replace.
- Unlike in the non-Pro models, there’s still no good way to replace the rear glass.",4,Revised,1.4
130,Apple,iPhone 14 Pro Max,2022,"+ Display and battery replacements remain a priority in the design.
+ Most other components are modular and straightforward to access or replace.
- Unlike in the non-Pro models, there’s still no good way to replace the rear glass.",4,Revised,1.4
129,Google,Pixel 6a,2022,"+ Display and battery repairs are well-prioritized, but complicated by reliance on adhesives.
- The soldered charge port and glued back glass are impractical to repair.
• Google provides no service manual, but does offer a limited set of replacement parts.",5,,1.6
128,Samsung,Galaxy S22,2022,"+ Standard Phillips screws throughout the phone.
- The battery is strongly glued and requires extensive disassembly to service.
- Screen repairs require a lot of disassembly while battling tough adhesive.",3,,1.4
127,Samsung,Galaxy S22 Ultra,2022,"+ Standard Phillips screws throughout the phone.
- The battery is strongly glued and requires extensive disassembly to service.
- Screen repairs require a lot of disassembly while battling tough adhesive.",3,,1.4
126,Fairphone,4,2021,"+ The pop-out battery can be replaced in seconds, with no tools required.
+ Display repairs are easy and well-prioritized.
+ The OEM supports all common repairs with clear instructions and publicly available replacement parts.",10,,1.4
125,Google,Pixel 6,2021,"+ The display is straightforward to remove and replace.
+ Many components are highly modular, and standard T3 screws are used throughout.
- The strongly adhered battery is difficult to replace.",6,,1.3
124,Google,Pixel 6 Pro,2021,"+ Many components are highly modular, and standard T3 screws are used throughout.
• Display repairs can be challenging, but free public software helps with calibration.
- Replacing the glued battery is tough work, and the charge port is soldered.",5,,1.4
123,Apple,iPhone 13 Pro,2021,"+ Display and battery replacements remain a priority in the new iPhones' design.
+ Most other components are modular and easy to access or replace.
- Once again, double glass means double drop damage, and despite the improvements to durability over the years, there’s still no easy way to replace the rear glass.",6,,1.4
122,Google,Pixel 5a,2021,"+ Many components are modular and can be replaced independently.
+ Battery repairs are reasonably well-prioritized, but tricky adhesive complicates repairs.
- The charging port, a high-wear part, is not modular and repair requires a full motherboard replacement.",6,,1.2
121,Mi,11,2021,"+ Only one standard Phillips screwdriver is needed.
- The glass body makes drop damage more likely, and the curved glass requires special tools or is likely to break during repairs.
- To replace the in-display fingerprint sensor, you'll need to remove the whole display—which can result in a broken screen.",4,,1.0
120,Huawei,Mate 40 Pro,2020,"+ Huawei uses standard Phillips screws throughout the phone.
- Glass on front and back doubles the likelihood of drop damage.
- The display adhesive is insanely strong.",4,,1.0
119,Apple,iPhone 12 Pro Max,2020,"+ Screen and battery remain prioritized and reasonably accessible for replacement.
+ Most components are fairly modular and replaceable.
- The glass back makes drops even more dangerous and requires a full case replacement if it breaks.",6,,1.0
118,Apple,iPhone 12 mini,2020,"+ The two most common smartphone repairs—display and battery—are well-prioritized here.
+ Most major components are modular enough to be accessed/replaced independently.
- Glass covering the rear housing is fragile and impractical to replace—a single drop could necessitate replacing the entire body of the iPhone.",6,,1.0
117,Apple,iPhone 12 Pro,2020,"+ Display and battery replacements remain a priority in the new iPhones' design.
+ Most other important components are modular and easy to access or replace.
- Glass on front and back doubles the likelihood of drop damage—and if the back glass breaks, you'll be removing every component and replacing the entire chassis.",6,,1.0
116,Google,Pixel 5,2020,"+ Many components are modular and can be replaced independently.
+ Battery repairs are reasonably well-prioritized, but tricky adhesive complicates repairs.
- The charging port, a high-wear part, is not modular; this repair requires microsoldering or a full motherboard replacement.",6,,1.0
115,Microsoft,Surface Duo,2020,"- Batteries are glued and require extensive disassembly to service.
- The USB-C port is soldered directly to the main board.
- Uncommon tri-point screws secure key components.",2,,1.0
114,Google,Pixel 4a,2020,"+ Most components are modular and independently replaceable.
+ Repair-friendly stretch-release adhesive secures the battery, and is easy to release successfully.
• The display comes off first, but is fragile and poorly protected. Foam adhesive makes the opening process relatively easy.",6,,1.0
113,Samsung,Galaxy Note 20 Ultra,2020,"+ You'll only need one screwdriver, a standard Phillips.
- Battery replacement remains far too difficult for a consumable component.
- Screen repairs are tedious, poorly prioritized, and unnecessarily expensive.",3,,1.0
112,Apple,iPhone SE 2020,2020,"+ The two most commonly replaced components, display and battery, remain straightforward to access with the proper knowledge and tools.
+ Most components are modular and independently replaceable, including many that are cross-compatible with iPhone 8.
- The fragile glass back is impractical to replace.",6,,1.0
111,Samsung,Galaxy A51,2020,"+ A single Phillips driver takes care of all the screws.
• The plastic back cover is glued in place, but can be removed fairly easily with heat.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,,1.0
110,Samsung,Galaxy S20 Ultra,2020,"+ The fasteners, all identical Phillips screws, only require one driver and can't be mixed up, simplifying repair.
- Every repair starts with painstakingly un-gluing the fragile glass rear cover.
- Replacing the glued-down battery is tougher than ever, especially with board interconnect cables to work around.",3,,1.0
109,Samsung,Galaxy Z Flip,2020,"- Glued-down glass panels are an unnecessary barrier to entry for repairs, especially given the phone's lack of ingress protection.
- Battery replacements are possible, but unnecessarily difficult due to poorly-routed cables and the lack of stretch-release adhesive.
- The components involved in the folding process are likely to wear over time (even if you don't bathe them in purple dust), necessitating eventual replacement.",2,,1.0
108,Motorola,razr,2020,"- Every repair starts (and ends) with stubborn, glued-on outer covers.
- Replacing the battery—or rather, batteries—requires near-total disassembly.
- The charging port is soldered directly to the main board.",1,,1.0
107,Google,Pixel 4 XL,2019,"+ All screws are standard T3 Torx fasteners.
- Display repairs continue to be difficult, requiring complete disassembly of the phone.
- All repairs require access through the stubbornly-glued back panel.",4,,1.0
106,Apple,iPhone 11,2019,"+ The prioritized display makes replacement of this critical component easier than in other devices.
+ Display swaps don’t require too much hardware swapping to maintain Face ID.
- Front and back glass doubles the chances of breakage, and the rear glass can only be fully replaced with a complete housing swap.",6,,1.0
105,Apple,iPhone 11 Pro Max,2019,"+ Critical display and battery repairs remain a priority in the iPhone's design.
+ The battery procedure has been simplified and many components are accessible independently.
- Glass on front and back doubles the likelihood of drop damage—and if the back glass breaks, you'll be removing every component and replacing the entire chassis.",6,,1.0
104,Fairphone,3,2019,"+ Key components like the battery and screen have been prioritized in the design and are accessible either without tools or just a regular Phillips screwdriver.
+ Visual cues inside the phone help with disassembling and replacing its parts and modules.
+ Replacing complete modules is very easy. Going for their internal parts is also possible and requires a Torx screwdriver.",10,,1.0
103,Samsung,Galaxy Note10 Plus 5G,2019,"+ Equally-sized Phillips fasteners means you only need to bring one driver for repairs.
- Every repair starts with painstakingly un-gluing the fragile glass rear cover.
- Replacing the glued-down battery is tougher than ever, especially with board interconnect cables to work around.",3,,1.0
102,Shift,6m,2019,"+ Battery and screen repairs are prioritized.
+ Only one type of screw head and length are used throughout the phone.
+ Most components are modular and can be replaced individually.",9,,1.0
101,Huawei,Mate 20 X 5G,2019,"+ Many components are modular and can be replaced independently.
- Glued-down front and back glass means greater risk of breakage, while making all repairs difficult to start.
- Screen repairs will require near-complete disassembly.",4,,1.0
100,Google,Pixel 3a,2019,"+ Most components are modular and can be easily replaced once the display assembly is removed.
+ Repair-friendly stretch-release adhesive secures the battery.
- The myriad long, thin ribbon cables connecting the internal componentry can be obnoxious to work around, and are easy to accidentally tear.",6,,1.0
99,Google,Pixel 3a XL,2019,"+ Most components are modular and can be easily replaced once the display assembly is removed.
+ Repair-friendly stretch-release adhesive secures the battery.
- The myriad long, thin ribbon cables connecting the internal componentry can be obnoxious to work around, and are easy to accidentally tear.",6,,1.0
98,Samsung,Galaxy Fold,2019,"- The mechanics involved in the fold are likely to wear over time, causing stress to hinges and display, necessitating eventual replacement.
- The fragility of the main display means you'll almost certainly be replacing it before long—a pricey repair.
- Battery replacements are possible, but unnecessarily difficult—solvents help, but risk damage to the display supports.",2,,1.0
97,Samsung,Galaxy S10,2019,"+ A single Phillips driver takes care of all the screws.
- Battery replacement is possible, but still unnecessarily difficult.
- Glued-down glass both front and back means greater risk of breakage, and makes repairs difficult to start.",3,,1.0
96,Huawei,Mate 20 Pro,2018,"+ Many components are modular and can be replaced independently.
- Glued-down front and back glass means greater risk of breakage while making repairs difficult to start.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,,1.0
95,Apple,iPhone XR,2018,"+ The display-first opening procedure and easy access to the battery remain design priorities.
+ A broken display can be replaced with minimal hardware removal, and with a little care you can preserve Face ID.
- Glass on front and back doubles the crackability—and broken back glass requires an entire chassis replacement.",6,,1.0
94,Google,Pixel 3 XL,2018,"+ The only screws are standard T3 Torx fasteners.
- Display repairs are much more difficult than previous models, requiring complete disassembly of the phone.
- To service any component, you'll have to painstakingly un-glue (and later re-glue) the glass rear panel.",4,,1.0
93,Google,Pixel 3,2018,"+ The only screws are standard T3 Torx fasteners.
- Display repairs are much more difficult than previous models, requiring complete disassembly of the phone.
- To service any component, you'll have to painstakingly un-glue (and later re-glue) the glass rear panel.",4,,1.0
92,Apple,iPhone XS,2018,"+ Critical display and battery repairs remain a priority in the iPhone's design.
+ A broken display can be replaced without removing the biometric Face ID hardware.
- Glass on front and back doubles the likelihood of drop damage—and if the back glass breaks, you'll be removing every component and replacing the entire chassis.",6,,1.0
91,Nokia,8110 4G,2018,"+ For the most part disassembly is extremely simple with only plastic clips, and standard Torx screws holding the phone together.
+ The battery is easy to access and replace
- Several main components such as headphone jack, SD card slot, Micro USB port and vibrator are soldered to the motherboard.",8,,1.0
90,LG,G7 Thin Q,2018,"+ Lots of components are modular and can be replaced independently.
- Front and back glass make for double the crackability, and strong adhesive on both makes it tough to access the internals for any repair.
- Screen repair, the most common type repair, is not prioritized, requiring an almost complete disassembly while battling tough adhesive.",4,,1.0
89,OnePlus,6,2018,"+ The battery can be accessed almost the moment you open the phone, and is only lightly adhered in place. Plus, there's a convenient pull tab.
- Display replacement, the most common repair, is not prioritized in the design and will take a lot of work.
- Front and back glass means twice the risk of cracks—without even the benefit of wireless charging.",5,,1.0
88,Huawei,P20 Pro,2018,"+ Many components are modular and can be replaced independently.
- Double the risk for breakage with glass front and back.
- Replacing the screen requires going through at least two layers of adhesive and some disassembly.",4,,1.0
87,Samsung,Galaxy S9 Plus,2018,"+ Many components are modular and can be replaced independently.
- Glued-down glass both front and back means greater risk of breakage, and makes repairs difficult to start.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,,1.0
86,Samsung,Galaxy S9,2018,"+ Many components are modular and can be replaced independently.
- Glued-down glass both front and back means greater risk of breakage, and makes repairs difficult to start.
- Screen repairs require a lot of disassembly while battling tough adhesive.",4,,1.0
85,Apple,iPhone X,2017,"+ Display and battery repairs remain a priority in the iPhone's design.
+ A cracked display can be replaced without removing the biometric Face ID hardware.
- Fussy cables tie unrelated components together into complex assemblies—expensive and troublesome to replace.",6,,1.0
84,Google,Pixel 2 XL,2017,"+ Many components are modular and can be replaced once the display assembly is removed.
+ All of the screws are common Phillips #00 screws, and there are only 9 of them.
- The battery's loss of pull-tab adhesive, plus tightly walled-in placement, makes it much harder to remove.",6,,1.0
83,Google,Pixel 2,2017,"+ Front panel is fairly easy to remove and replace.
+ Standard screws used throughout.
- Cable placement makes battery removal more difficult than necessary.",6,,1.0
82,Huawei,Mate 10 Pro,2017,"+ Despite the IP67-rated seals, the back cover is fairly easy to open.
- A damaged  front camera means switching the whole display including the frame, or damaging the display while trying to remove it.
- And replacing the display—the most common repair—means taking out almost every component.",4,,1.0
81,Apple,iPhone 8,2017,"+ The two most commonly replaced components, display and battery, remain straightforward to access with the proper knowledge and tools.
+ The addition of wireless charging means less strain on your Lightning port, a common point of failure.
- The durability of the glass back remains to be seen—but replacements are likely to be very difficult.",6,,1.0
80,Apple,iPhone 8 Plus,2017,"+ The display and battery are straightforward to access—with the proper knowledge and tools.
+ Wireless charging means less wear on the all-purpose Lightning port, a common point of failure.
- Despite alleged durability, the back glass is breakable and next to impossible to replace when cracked.",6,,1.0
79,Samsung,Galaxy Note8,2017,"+ Many components, including all of those that experience wear, are modular and can be replaced independently.
- All repairs require removing the glass rear panel, which is challenging due to the large amount of adhesive.
- Replacing the display requires removing the glass rear panel and the display, both of which are fragile and secured with strong adhesive.",4,,1.0
78,Essential,Phone,2017,"- The USB-C port is soldered to the motherboard, and with no headphone jack it'll be subject to extra wear.
- Nearly invisible seams and copious adhesive means any attempt at repair is likely to inflict as much damage as it fixes.
- Did we mention we had to freeze it?",1,,1.0
77,Samsung,Galaxy Note Fan Edition,2017,"+ Many components are modular and can be replaced independently.
- Front and back glass make for double the crackability, and strong adhesive on the rear glass makes it very difficult to gain entry into the device.
- Because of the curved screen, replacing the front glass without destroying the display is probably impossible.",4,,1.0
